지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
904,사상,2023-03-13 23:00,6.8,171.1,1.2,0,57
904,사상,2023-03-14 00:00,6.8,170.4,.9,0,57
904,사상,2023-03-14 01:00,4.6,12.3,1.1,0,72
904,사상,2023-03-14 02:00,4.5,2.5,1.2,0,76
904,사상,2023-03-14 03:00,5,27.6,1.5,0,69
904,사상,2023-03-14 04:00,4.4,331.8,1.4,0,74
904,사상,2023-03-14 05:00,4.2,42.6,1.6,0,73
904,사상,2023-03-14 06:00,4.6,358.6,1.1,0,70
904,사상,2023-03-14 07:00,4.6,336.7,.6,0,72
904,사상,2023-03-14 08:00,6.1,295.8,.5,0,69
904,사상,2023-03-14 09:00,7.8,230.5,.9,0,58
904,사상,2023-03-14 10:00,9.7,231.6,.7,0,54
904,사상,2023-03-14 11:00,11.8,199,3.7,0,38
904,사상,2023-03-14 12:00,12.3,218.7,6.1,0,41
904,사상,2023-03-14 13:00,13.1,203,6.1,0,55
904,사상,2023-03-14 14:00,13.7,205.3,6.1,0,50
904,사상,2023-03-14 15:00,13.4,205.5,7.1,0,55
904,사상,2023-03-14 16:00,13.2,207.1,6.7,0,56
904,사상,2023-03-14 17:00,12.9,202.9,6.5,0,55
904,사상,2023-03-14 18:00,12.2,193.7,5.9,0,58
904,사상,2023-03-14 19:00,11.5,200.2,4.4,0,64
904,사상,2023-03-14 20:00,10.8,204.9,2.7,0,64
904,사상,2023-03-14 21:00,9.7,195.6,1.5,0,66
904,사상,2023-03-14 22:00,8.5,178.5,.7,0,72
904,사상,2023-03-14 23:00,5.9,33.4,.7,0,83
904,사상,2023-03-15 00:00,4.2,23,.9,0,89
904,사상,2023-03-15 01:00,4.4,33.4,1.8,0,91
904,사상,2023-03-15 02:00,4.5,16.2,1,0,94
904,사상,2023-03-15 03:00,4.3,348.8,1.4,0,88
904,사상,2023-03-15 04:00,4.3,17,1.7,0,89
904,사상,2023-03-15 05:00,5,346.9,1.2,0,89
904,사상,2023-03-15 06:00,4.5,0,.3,0,90
904,사상,2023-03-15 07:00,6.1,337.4,1.6,0,89
904,사상,2023-03-15 08:00,7.9,1.3,1.1,0,83
904,사상,2023-03-15 09:00,10.8,345.5,1.4,0,76
904,사상,2023-03-15 10:00,15.3,186.1,1.9,0,62
904,사상,2023-03-15 11:00,16.4,210,4.8,0,68
904,사상,2023-03-15 12:00,15.7,215.4,5.1,0,74
904,사상,2023-03-15 13:00,15.9,202.9,6.4,0,78
904,사상,2023-03-15 14:00,16.9,200.6,6.2,0,78
904,사상,2023-03-15 15:00,17.4,198.9,8.9,0,76
904,사상,2023-03-15 16:00,17.3,198.9,10.2,0,77
904,사상,2023-03-15 17:00,16.4,199,7.7,0,81
904,사상,2023-03-15 18:00,15.5,195.7,5.9,0,84
904,사상,2023-03-15 19:00,15.2,193.7,5.5,0,85
904,사상,2023-03-15 20:00,14.9,190.5,5,0,85
904,사상,2023-03-15 21:00,14.6,212.1,3.3,0,86
904,사상,2023-03-15 22:00,15.1,200.4,5.4,0,85
904,사상,2023-03-15 23:00,14.8,201.8,4.8,0,88
904,사상,2023-03-16 00:00,14.1,206.1,4.5,0,94
904,사상,2023-03-16 01:00,13.3,177.2,2.6,0,95
904,사상,2023-03-16 02:00,13.6,178.4,2.3,0,90
904,사상,2023-03-16 03:00,13.9,62.1,1.6,0,87
904,사상,2023-03-16 04:00,12.4,198.2,2.2,0,93
904,사상,2023-03-16 05:00,11.2,0,.3,0,96
904,사상,2023-03-16 06:00,12.2,0,.4,0,86
904,사상,2023-03-16 07:00,11,305.9,2.4,0,77
904,사상,2023-03-16 08:00,10.5,312.2,4.5,0,59
904,사상,2023-03-16 09:00,10.8,301.5,5.5,0,29
